DÖVİZ KURU ANALİZİ — USD/TL | EUR/TL | GBP/TL (2016–2026);;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
YILLIK KUR GETİRİLERİ (Yıl Başı ? Yıl Sonu, %);;;;;;;;;;
Yıl;USD Baş.;USD Son.;USD Getiri;EUR Baş.;EUR Son.;EUR Getiri;GBP Baş.;GBP Son.;GBP Getiri;En İyi / Not
2016;2,92;3,53;21,03%;3,18;3,69;16,02%;4,32;4,32;0,09%;USD (21%)
2017;3,59;3,81;6,04%;3,78;4,55;20,29%;4,42;5,11;15,83%;EUR (20%)
2018;3,76;5,29;40,66%;4,53;6,02;33,08%;5,08;6,68;31,37%;USD (41%)
2019;5,46;5,93;8,64%;6,21;6,58;5,97%;6,85;7,69;12,25%;GBP (12%)
2020;5,95;7,62;28,10%;6,66;9,29;39,50%;7,85;10,33;31,69%;EUR (39%)
2021;7,34;12,98;76,79%;9,01;14,68;62,99%;9,94;17,45;75,52%;USD (77%)
2022;13,64;18,70;37,12%;15,41;19,88;29,01%;18,40;22,47;22,12%;USD (37%)
2023;18,74;29,40;56,88%;19,89;32,69;64,38%;22,49;37,57;67,08%;GBP (67%)
2024;29,75;35,20;18,35%;32,57;36,61;12,40%;37,71;44,04;16,80%;USD (18%)
2025;35,25;42,76;21,31%;36,48;50,39;38,13%;43,95;57,73;31,35%;EUR (38%)
2026;42,85;44,28;3,35%;50,29;51,16;1,74%;57,51;59,02;2,62%;USD (03%)
;;;;;;;;;;
;;;;;;;;;;
DÖVİZ KURU BEKLENTİLERİ;;;;;;;;;;
Döviz;Anlık (Mart 2026);Cari Yıl Sonu;12 Ay Sonrası;Beklenen %;Değerlendirme;;;;;
USD/TL;44,28;50,97;52,70;+%18,4;Döviz mevduatı cazip — enflasyona karşı kur kaybına hedge imkânı;;;;;
EUR/TL;~48,50;~55,80;~57,70;+%19,0;EUR benzer trendi izliyor, çeşitlendirme için tercih edilebilir;;;;;
GBP/TL;~56,20;~64,80;~67,00;+%19,2;GBP en yüksek kur artışı beklentisi (PKA tahmini);;;;;
