 FED FAİZİ | USD & EUR & GBP ENFLASYON;;;;;
;;;;;
Kaynak: BIS (FED Faizi) | IMF (ABD / EUR / GBP Enflasyon) | Kapsam: 2022-09 – 2025-02  |  Mavi hücre = Kaynak veri girişi (hardcode)   Siyah hücre = Excel formülü   ? Sarı = Kaynak dosyada hata/eksik — gerçek değer manuel girildi (ABD Enf 2024-10: %2,60);;;;;
  ABD: FED FAİZİ & ENFLASYON;;;;;
Dönem;FED Faizi;ABD Enf;EUR Enf;GBP Enf;Reel FED Faizi
2022-09;3,125%;3,700%;9,900%;8,808%;-0,575%
2022-10;3,125%;3,241%;10,600%;9,612%;-0,116%
2022-11;3,875%;3,137%;10,100%;9,378%;+0,738%
2022-12;4,375%;3,352%;9,200%;9,241%;+1,023%
2023-01;4,375%;3,091%;8,600%;8,901%;+1,284%
2023-02;4,625%;3,153%;8,500%;9,185%;+1,472%
2023-03;4,875%;3,477%;6,900%;8,841%;+1,398%
2023-04;4,875%;3,357%;6,900%;7,815%;+1,518%
2023-05;5,125%;3,269%;6,100%;7,853%;+1,856%
2023-06;5,125%;2,971%;5,500%;7,386%;+2,154%
2023-07;5,375%;2,895%;5,300%;6,436%;+2,480%
2023-08;5,375%;2,531%;5,200%;6,240%;+2,844%
2023-09;5,375%;2,441%;4,300%;6,378%;+2,934%
2023-10;5,375%;2,598%;2,900%;4,747%;+2,777%
2023-11;5,375%;2,749%;2,400%;4,167%;+2,626%
2023-12;5,375%;2,888%;2,900%;4,150%;+2,487%
2024-01;5,375%;3,000%;2,800%;4,167%;+2,375%
2024-02;5,375%;2,822%;2,600%;3,810%;+2,553%
2024-03;5,375%;2,391%;2,400%;3,785%;+2,984%
2024-04;5,375%;2,311%;2,400%;3,040%;+3,064%
2024-05;5,375%;2,355%;2,600%;2,789%;+3,020%
2024-06;5,375%;2,669%;2,500%;2,782%;+2,706%
2024-07;5,375%;2,705%;2,600%;3,023%;+2,670%
2024-08;5,375%;2,916%;2,200%;3,091%;+2,459%
2024-09;4,875%;3,013%;1,700%;2,613%;+1,862%
2024-10;4,875%;2,600%;2,000%;3,149%;+2,275%
2024-11;4,625%;2,735%;2,200%;3,538%;+1,890%
2024-12;4,375%;2,677%;2,400%;3,525%;+1,698%
2025-01;4,375%;2,386%;2,500%;3,923%;+1,989%
2025-02;4,375%;2,414%;2,300%;3,670%;+1,961%
;;;;;
DÖNEM ÖZETİ (2022-09 ? 2025-02);;;;;
İstatistik;FED Faizi;ABD Enf;EUR Enf;GBP Enf;Reel FED
Minimum;3,13%;2,31%;1,70%;2,61%;-0,57%
Maksimum;5,38%;3,70%;10,60%;9,61%;3,06%
Ortalama;4,88%;2,86%;4,62%;5,53%;2,01%
;;;;;
;;;;;
KÜRESEL BAĞLAM — YATIRIM ETKİLERİ;;;;;
• FED Faiz Döngüsü;"FED %4,375 seviyesinde sabit (Şub 2025 itibarıyla); 2025-2026'da kademeli indirim beklentisi sürmekte. ABD enflasyonu %2,4'e gerilemiş, ancak tarife riskleri yukarı yönlü baskı oluşturuyor. Bu durum USD'nin görece güçlü kalmasına zemin hazırlıyor.";;;;
• EUR Bölgesi Dezenflasyonu;"EUR Bölgesi enflasyonu %10,6 zirvesinden (Eki 2022) %2,3'e (Şub 2025) indi. ECB indirim döngüsünü büyük ölçüde tamamladı; büyüme zayıf, deflasyon riski yakın takipte. EUR/TL kur artış beklentisi ~%19 ile TL mevduata alternatif sunuyor.";;;;
• GBP Kademeli Dezenflasyon;"GBP enflasyonu %9,6 zirvesinden (Eki 2022) %3,7'ye (Şub 2025) geriledi; BoE ihtiyatlı indirim sürecinde. Üç para birimi içinde en yüksek enflasyona sahip: Bu durum GBP'nin reel değer kaybı riskini barındırıyor, ancak TL bazlı kur getirisi çeşitlendirme sunar.";;;;
• TR–ABD Reel Faiz Farkı;"TCMB reel faizi ~+6,4 pp (Mar 2026), FED reel faizi bu dönem sonunda ~+2,0 pp ? TR–ABD reel faiz farkı ~+4 pp seviyesinde. Bu fark, yabancı portföy akımlarını TL varlıklarına (DT, mevduat) çekmeye devam etmekte; CDS 218 bp'ye geriledi.";;;;
• Küresel Altın & Emtia;FED'in faiz indirimi döngüsü ve USD'nin görece zayıflaması, küresel altın fiyatlarını rekor seviyelere (3.100+ USD/ons) taşıdı. TL bazlı altın 2024-2025 döneminde %65+ getiriyle portföyün en güçlü performans göstereni oldu.;;;;
• Gelişmekte Olan Piyasa Riski;"ABD tarifelerinden kaynaklanan belirsizlik ve küresel büyüme endişeleri, GOP'larda volatiliteyi artırabilir. TL'nin görece güçlü reel getirisi bu riski kısmen tamponluyor; döviz bazlı yatırımlar (USD/EUR mevduat, Eurobond) döviz hedge işlevi görmeye devam etmeli.";;;;
